Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,doctor,hospital
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,Dr.Angela Wu,Meadowview General Hospital
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,Dr. Amanda Carter,Meadowview General Hospital
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,Dr. Amanda Carter,Meadowview General Hospital
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,Dr. Amanda Carter,Meadowview General Hospital
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,,Dr. Amanda Carter,Meadowview General Hospital
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,,Dr. Amanda Carter,Meadowview General Hospital
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,Dr. Amanda Carter,Meadowview General Hospital
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,Dr. Amanda Carter,Meadowview General Hospital
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,Dr. Amanda Carter,Meadowview General Hospital
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,Dr.Amanda Carter,Meadowview General Hospital
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,Dr. Olivia Harper,Meadowview General Hospital
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Dr. Olivia Harper,Meadowview General Hospital
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Dr. Olivia Harper,Meadowview General Hospital
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Dr. Olivia Harper,Meadowview General Hospital
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Dr. Olivia Harper,Meadowview General Hospital
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Dr. Olivia Harper,Meadowview General Hospital
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,,Dr. Olivia Harper,Meadowview General Hospital
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,,,Dr. Olivia Harper,Meadowview General Hospital
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,Dr. Olivia Harper,Meadowview General Hospital
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,Dr. Olivia Harper,Meadowview General Hospital
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,Dr. Ethan Patel,Meadowview General Hospital
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,Dr. Ethan Patel,Meadowview General Hospital
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,Dr. Ethan Patel,Meadowview General Hospital
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,Dr. Ethan Patel,Meadowview General Hospital
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,Dr. Ethan Patel,Meadowview General Hospital
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,Dr. Ethan Patel,Meadowview General Hospital
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,Dr. Ethan Patel,Meadowview General Hospital
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,Dr. Ethan Patel,Meadowview General Hospital
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,Dr. Ethan Patel,Meadowview General Hospital
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,Dr. Ethan Patel,Meadowview General Hospital
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,Dr. Priya Singh,Meadowview General Hospital
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,Dr. Priya Singh,Meadowview General Hospital
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,Dr. Priya Singh,Meadowview General Hospital
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,Dr. Priya Singh,Meadowview General Hospital
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,Dr. Priya Singh,Meadowview General Hospital
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,,,,,,,,,,,,,Dr. Priya Singh,Meadowview General Hospital
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,,,,,,,,,,,,,Dr. Priya Singh,Meadowview General Hospital
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,,,,,,,,,,,,,Dr. Priya Singh,Meadowview General Hospital
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,Dr. Priya Singh,Meadowview General Hospital
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,Dr. Priya Singh,Meadowview General Hospital
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,Dr. Lucas Reed,Meadowview General Hospital
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,Dr. Lucas Reed,Meadowview General Hospital
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,Dr. Lucas Reed,Meadowview General Hospital
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,,,,,,,,,,,,,,,Dr. Lucas Reed,Meadowview General Hospital
AIDS, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,,Dr. Lucas Reed,Meadowview General Hospital
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,Dr. Lucas Reed,Meadowview General Hospital
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,Dr. Lucas Reed,Meadowview General Hospital
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,Dr. Lucas Reed,Meadowview General Hospital
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,Dr. Lucas Reed,Meadowview General Hospital
AIDS, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,,Dr. Lucas Reed,Meadowview General Hospital
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,Dr. Isabella Torres,Meadowview General Hospital
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,Dr. Isabella Torres,Meadowview General Hospital
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,Dr. Isabella Torres,Meadowview General Hospital
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,Dr. Isabella Torres,Meadowview General Hospital
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,Dr. Isabella Torres,Meadowview General Hospital
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,Dr. Isabella Torres,Meadowview General Hospital
Diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,Dr. Isabella Torres,Meadowview General Hospital
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,Dr. Isabella Torres,Meadowview General Hospital
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,,,,,,,,,Dr. Isabella Torres,Meadowview General Hospital
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,,,,,,,,,Dr. Isabella Torres,Meadowview General Hospital
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,Dr.Aisha Malik,Meadowview General Hospital
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,Dr.Aisha Malik,Meadowview General Hospital
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,Dr.Aisha Malik,Meadowview General Hospital
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,Dr.Aisha Malik,Meadowview General Hospital
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,,Dr.Aisha Malik,Meadowview General Hospital
Gastroenteritis, vomiting, sunken_eyes, dehydration,,,,,,,,,,,,,,,Dr.Aisha Malik,Meadowview General Hospital
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,Dr.Aisha Malik,Meadowview General Hospital
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,Dr.Aisha Malik,Meadowview General Hospital
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,Dr.Aisha Malik,Meadowview General Hospital
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,,Dr. Aisha Malik,Meadowview General Hospital
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,Dr. Rajesh Sharma,Meadowview General Hospital
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,Dr. Rajesh Sharma,Meadowview General Hospital
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,Dr. Rajesh Sharma,Meadowview General Hospital
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,Dr. Rajesh Sharma,Meadowview General Hospital
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,,,,,,,,,,,,,Dr. Rajesh Sharma,Meadowview General Hospital
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,,,,,,,,,,,,,Dr. Rajesh Sharma,Meadowview General Hospital
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history,,,,,,,,,,,,,Dr. Rajesh Sharma,Meadowview General Hospital
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,Dr. Rajesh Sharma,Meadowview General Hospital
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,Dr. Rajesh Sharma,Meadowview General Hospital
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,Dr. Rajesh Sharma,Meadowview General Hospital
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,Dr. Marcus Grant,Meadowview General Hospital
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,Dr. Marcus Grant,Meadowview General Hospital
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,Dr. Marcus Grant,Meadowview General Hospital
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,Dr. Marcus Grant,Meadowview General Hospital
Hypertension , headache, chest_pain, dizziness, lack_of_concentration,,,,,,,,,,,,,,Dr. Marcus Grant,Meadowview General Hospital
Hypertension , headache, chest_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,Dr. Marcus Grant,Meadowview General Hospital
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,Dr. Marcus Grant,Meadowview General Hospital
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,Dr. Marcus Grant,Meadowview General Hospital
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,Dr. Marcus Grant,Meadowview General Hospital
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,Dr. Marcus Grant,Meadowview General Hospital
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,Dr. Daniel Brooks,Meadowview General Hospital
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Dr. Daniel Brooks,Meadowview General Hospital
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Dr. Daniel Brooks,Meadowview General Hospital
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Dr. Daniel Brooks,Meadowview General Hospital
Migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Dr. Daniel Brooks,Meadowview General Hospital
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,Dr. Daniel Brooks,Meadowview General Hospital
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances,,,,,,,,,,Dr. Daniel Brooks,Meadowview General Hospital
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances,,,,,,,,,,Dr. Daniel Brooks,Meadowview General Hospital
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances,,,,,,,,,,Dr. Daniel Brooks,Meadowview General Hospital
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,,,,,,,,,,Dr. Daniel Brooks,Meadowview General Hospital
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Jaundice, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Jaundice,itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Jaundice,itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Jaundice,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Jaundice,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Malaria, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Malaria, chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Malaria, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Malaria, chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Malaria, chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Malaria, chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Chicken pox, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Chicken pox,itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Chicken pox,itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Chicken pox,itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Chicken pox,itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,,Dr.Marcus Disouza,Meadowview General Hospital
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, malaise, red_spots_over_body,,,,,,,,Dr.Smith B,Meadowview General Hospital
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body,,,,,Dr.Smith B,Meadowview General Hospital
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, red_spots_over_body,,,,,Dr.Smith B,Meadowview General Hospital
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain,,,,,Dr.Smith B,Meadowview General Hospital
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,Dr.Smith B,Meadowview General Hospital
Dengue, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,Dr.Smith B,Meadowview General Hospital
Dengue, skin_rash, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,Dr.Smith B,Meadowview General Hospital
Dengue, skin_rash, chills, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,,Dr.Smith B,Meadowview General Hospital
